Detected 16 CPU cores
Detected 52215 MB free RAM
Detected 1 NVIDIA CUDA GPUs:

Device 0:			Quadro K4200
-> CC				3000
-> CORES			1344  CUDA Cores
-> CLOCK			784 MHz
-> MEM				4095 MB
TOTAL FRAMES 3915
NO FACE AT 5
NO FACE AT 6
NO FACE AT 7
NO FACE AT 8
NO FACE AT 9
NO FACE AT 10
NO FACE AT 14
NO FACE AT 15
NO FACE AT 16
NO FACE AT 17
NO FACE AT 18
NO FACE AT 23
NO FACE AT 31
NO FACE AT 33
NO FACE AT 43
NO FACE AT 48
NO FACE AT 49
NO FACE AT 54
NO FACE AT 55
NO FACE AT 60
NO FACE AT 64
NO FACE AT 65
NO FACE AT 66
NO FACE AT 68
NO FACE AT 71
NO FACE AT 72
NO FACE AT 75
NO FACE AT 76
NO FACE AT 82
NO FACE AT 90
NO FACE AT 91
NO FACE AT 92
NO FACE AT 93
NO FACE AT 94
NO FACE AT 96
NO FACE AT 102
NO FACE AT 103
NO FACE AT 104
NO FACE AT 105
NO FACE AT 107
NO FACE AT 108
NO FACE AT 109
NO FACE AT 111
NO FACE AT 112
NO FACE AT 113
NO FACE AT 114
NO FACE AT 115
NO FACE AT 146
NO FACE AT 154
NO FACE AT 159
NO FACE AT 160
NO FACE AT 161
NO FACE AT 162
NO FACE AT 163
NO FACE AT 164
NO FACE AT 167
NO FACE AT 170
NO FACE AT 171
NO FACE AT 172
NO FACE AT 173
NO FACE AT 174
NO FACE AT 175
NO FACE AT 176
NO FACE AT 177
NO FACE AT 179
NO FACE AT 180
NO FACE AT 186
NO FACE AT 188
NO FACE AT 191
NO FACE AT 193
NO FACE AT 194
NO FACE AT 195
NO FACE AT 199
NO FACE AT 201
NO FACE AT 203
NO FACE AT 219
NO FACE AT 220
NO FACE AT 221
NO FACE AT 223
NO FACE AT 224
NO FACE AT 226
NO FACE AT 227
NO FACE AT 231
NO FACE AT 232
NO FACE AT 260
NO FACE AT 262
NO FACE AT 263
NO FACE AT 264
NO FACE AT 265
NO FACE AT 266
NO FACE AT 267
NO FACE AT 268
NO FACE AT 269
NO FACE AT 270
NO FACE AT 271
NO FACE AT 272
NO FACE AT 284
NO FACE AT 290
NO FACE AT 294
NO FACE AT 296
NO FACE AT 297
NO FACE AT 298
NO FACE AT 299
NO FACE AT 300
NO FACE AT 301
NO FACE AT 304
NO FACE AT 306
NO FACE AT 307
NO FACE AT 310
NO FACE AT 311
NO FACE AT 314
NO FACE AT 315
NO FACE AT 316
NO FACE AT 317
NO FACE AT 318
